Date,Average kWh,Fuel Charge (Cents/kWh),Average Bill
1/1/2000 0:00,820,1.372,54.26
2/1/2000 0:00,766,1.372,50.27
3/1/2000 0:00,707,1.372,45.91
4/1/2000 0:00,715,1.372,46.5
5/1/2000 0:00,838,1.372,61.68
6/1/2000 0:00,"1,221",1.372,96.88
7/1/2000 0:00,"1,442",1.372,117.2
8/1/2000 0:00,"1,493",1.635,125.81
9/1/2000 0:00,"1,368",1.635,113.99
10/1/2000 0:00,"1,029",1.635,81.94
11/1/2000 0:00,804,2.211,59.83
12/1/2000 0:00,864,2.211,64.77
1/1/2001 0:00,"1,019",2.211,77.52
2/1/2001 0:00,855,2.682,68.05
3/1/2001 0:00,714,2.682,55.78
4/1/2001 0:00,727,2.682,56.91
5/1/2001 0:00,794,2.682,68.04
6/1/2001 0:00,"1,138",2.682,104.16
7/1/2001 0:00,"1,320",2.682,123.28
8/1/2001 0:00,"1,539",2.682,146.28
9/1/2001 0:00,"1,334",2.682,124.75
10/1/2001 0:00,885,2.682,77.59
11/1/2001 0:00,691,2.682,53.78
12/1/2001 0:00,762,2.682,59.96
1/1/2002 0:00,888,1.774,62.86
2/1/2002 0:00,799,1.774,55.92
3/1/2002 0:00,732,1.774,50.7
4/1/2002 0:00,689,1.774,47.35
5/1/2002 0:00,941,1.774,74.93
6/1/2002 0:00,"1,091",1.774,89.32
7/1/2002 0:00,"1,224",1.774,102.08
8/1/2002 0:00,"1,303",1.774,109.66
9/1/2002 0:00,"1,376",1.774,116.66
10/1/2002 0:00,"1,047",1.774,85.1
11/1/2002 0:00,717,1.774,49.53
12/1/2002 0:00,788,1.774,55.07
1/1/2003 0:00,858,1.774,60.52
2/1/2003 0:00,822,1.774,57.72
3/1/2003 0:00,801,1.774,56.08
4/1/2003 0:00,643,1.774,43.77
5/1/2003 0:00,848,1.774,66.01
6/1/2003 0:00,"1,125",1.774,92.58
7/1/2003 0:00,"1,285",2.004,110.89
8/1/2003 0:00,"1,352",2.004,117.47
9/1/2003 0:00,"1,331",2.004,115.41
10/1/2003 0:00,954,2.004,78.37
11/1/2003 0:00,782,2.265,58.44
12/1/2003 0:00,762,2.265,56.78
1/1/2004 0:00,871,2.796,70.44
2/1/2004 0:00,773,2.796,61.8
3/1/2004 0:00,695,2.796,54.92
4/1/2004 0:00,687,2.796,54.22
5/1/2004 0:00,726,2.796,61.72
6/1/2004 0:00,"1,065",2.796,97.71
7/1/2004 0:00,"1,218",2.796,113.95
8/1/2004 0:00,"1,277",2.796,120.22
9/1/2004 0:00,"1,235",2.796,115.76
10/1/2004 0:00,"1,052",2.796,96.33
11/1/2004 0:00,873,2.796,70.61
12/1/2004 0:00,762,2.796,60.83
1/1/2005 0:00,850,2.796,68.59
2/1/2005 0:00,737,2.796,58.62
3/1/2005 0:00,708,2.796,56.07
4/1/2005 0:00,680,2.796,53.6
5/1/2005 0:00,706,2.796,59.6
6/1/2005 0:00,"1,125",2.796,104.08
7/1/2005 0:00,"1,435",2.796,136.99
8/1/2005 0:00,"1,324",2.796,125.21
9/1/2005 0:00,"1,430",2.796,136.46
10/1/2005 0:00,"1,218",2.796,113.95
11/1/2005 0:00,737,2.796,58.62
12/1/2005 0:00,820,2.796,65.94
1/1/2006 0:00,796,3.634,70.5
2/1/2006 0:00,665,3.634,57.85
3/1/2006 0:00,757,3.634,66.73
4/1/2006 0:00,768,3.634,67.79
5/1/2006 0:00,891,3.634,86.71
6/1/2006 0:00,"1,175",3.634,119.23
7/1/2006 0:00,"1,354",3.634,139.74
8/1/2006 0:00,"1,428",3.634,148.21
9/1/2006 0:00,"1,424",3.634,147.75
10/1/2006 0:00,"1,063",3.634,106.41
11/1/2006 0:00,730,3.634,64.12
12/1/2006 0:00,776,3.634,68.57
1/1/2007 0:00,909,3.343,78.76
2/1/2007 0:00,908,3.343,78.67
3/1/2007 0:00,731,3.343,62.09
4/1/2007 0:00,678,3.343,57.13
5/1/2007 0:00,765,3.343,70.05
